30.5405,-8.35867,-958.881
124.544,18.1416,-1388.14
122.511,17.3779,-1388.28
122.249,9.91215,-1383.71
115.874,-135.837,-1275.61
121.192,-132.249,-1204.5
128.99,18.8029,-1303.73
121.754,18.2093,-1393.91
121.668,17.3408,-1390.61
121.677,16.5587,-1388.29
121.526,9.87698,-1384.57
121.824,8.32797,-1378.74
121.922,7.52728,-1378.36
117.152,-93.5376,-1304.63
120.505,-104.423,-1246.64
120.904,-105.144,-1237.53
120.691,-110.42,-1233.27
120.802,-113.465,-1228.82
120.868,-114.613,-1226.16
120.85,-115.274,-1224.7
120.85,-115.935,-1223.72
120.691,-119.794,-1220.87
120.774,-121.69,-1217.58
120.711,-125.07,-1214.54
120.479,-130.781,-1208.54
120.73,-131.081,-1205.36
120.679,-131.511,-1203.46
120.518,-136.181,-1200.23
128.379,18.6949,-1301.16
120.858,19.1103,-1395.06
120.76,17.4275,-1390.68
120.907,16.6166,-1390.06
120.771,14.2451,-1386.3
121.001,13.6826,-1385.06
120.982,12.9931,-1384
121.057,12.265,-1384.3
121.082,11.4614,-1383.96
121.102,10.6951,-1382.28
121.114,9.92749,-1381.94
121.071,8.32613,-1379.46
121.123,7.59549,-1378.51
121.026,4.90417,-1375.6
116.712,-92.8774,-1305.59
120.348,-90.02,-1256.52
120.331,-91.4591,-1255.54
120.319,-92.1082,-1253.63
120.311,-92.7868,-1252.75
120.324,-93.4885,-1252.3
119.883,-103.515,-1244.87
120.175,-103.789,-1239.06
120.218,-104.544,-1238.81
120.209,-105.132,-1237.36
120.094,-107.637,-1235.54
120.141,-108.243,-1233.78
120.08,-110.309,-1231.75
120.118,-112.293,-1229.86
120.128,-112.707,-1227.57
120.138,-113.336,-1227.36
120.151,-114.01,-1227.25
120.152,-114.635,-1225.7
120.106,-115.301,-1224.76
120.099,-116.026,-1224.25
119.998,-119.248,-1221.48
120.131,-119.699,-1219.84
120.083,-120.325,-1219.09
120.109,-121,-1218.37
120.033,-123.024,-1216.06
120.089,-123.708,-1215
120.054,-124.404,-1213.58
120.126,-124.975,-1213.39
120.061,-125.392,-1211.8
120.074,-125.98,-1211.65
120.047,-126.568,-1210.9
119.954,-127.921,-1209.53
119.963,-128.546,-1208.27
120.033,-129.875,-1207.42
120.038,-130.556,-1206.43
120.06,-131.152,-1205.92
120.057,-131.71,-1205.29
119.919,-134.275,-1202.87
119.945,-134.697,-1200.16
119.976,-135.416,-1199.83
119.983,-136.036,-1199.02
119.859,-139.089,-1196.62
119.983,-139.614,-1194.69
119.916,-140.234,-1193.38
119.955,-140.917,-1193.14
119.941,-141.543,-1191.97
119.948,-142.262,-1191.44
119.946,-142.883,-1190.55
119.624,-149.727,-1184.93
119.096,-163.09,-1169.61
130.394,17.8907,-1282.68
120.111,17.4876,-1391.94
120.243,16.6483,-1390.17
120.245,15.9177,-1388.04
120.335,14.4655,-1388.69
120.396,13.7873,-1386.89
120.278,11.5957,-1384.4
120.389,10.7909,-1381.81
120.455,10.0098,-1381.81
120.491,9.22331,-1380.9
120.466,8.46064,-1379.98
120.49,7.75595,-1378.24
120.475,6.98993,-1377.34
120.562,6.38777,-1376.79
120.578,5.67894,-1376.19
120.508,5.00955,-1375
120.547,4.24025,-1373.89
